id,WKT
1,"POLYGON((120.0000 5.0000,125.0000 5.0000,125.0000 0.0000,120.0000 0.0000,120.0000 5.0000))"
2,"POLYGON((125.0000 5.0000,130.0000 5.0000,130.0000 0.0000,125.0000 0.0000,125.0000 5.0000))"
3,"POLYGON((130.0000 5.0000,135.0000 5.0000,135.0000 0.0000,130.0000 0.0000,130.0000 5.0000))"
4,"POLYGON((120.0000 0.0000,125.0000 0.0000,125.0000 -5.0000,120.0000 -5.0000,120.0000 0.0000))"
5,"POLYGON((125.0000 0.0000,130.0000 0.0000,130.0000 -5.0000,125.0000 -5.0000,125.0000 0.0000))"
6,"POLYGON((130.0000 0.0000,135.0000 0.0000,135.0000 -5.0000,130.0000 -5.0000,130.0000 0.0000))"
7,"POLYGON((120.0000 -5.0000,125.0000 -5.0000,125.0000 -10.0000,120.0000 -10.0000,120.0000 -5.0000))"
8,"POLYGON((125.0000 -5.0000,130.0000 -5.0000,130.0000 -10.0000,125.0000 -10.0000,125.0000 -5.0000))"
9,"POLYGON((130.0000 -5.0000,135.0000 -5.0000,135.0000 -10.0000,130.0000 -10.0000,130.0000 -5.0000))"
